Participant ID,Scent ID,Scent Description,Chemical Compounds,Sentiment Label,Age,Gender,Cultural Background,Previous Experience,Current Mood,Emotional Intensity
1,78,Floral,Phenyl ethyl alcohol,Delight,51,Other,British,True,Sad,Low
1,79,Ocean Breeze,Dimethyl sulfide,Freedom,27,Other,French,False,Energized,Medium
1,80,Rain,Geosmin,Nature,53,Female,British,False,Neutral,High
1,81,Lavender,"Linalool, Linalyl acetate",Relaxation,31,Male,Chinese,True,Neutral,High
1,82,Citrus,"Limonene, Citral",Happiness,48,Female,American,False,Neutral,Medium
1,83,Pine,Pinene,Calmness,65,Male,Chinese,False,Neutral,High
1,84,Fresh Linen,Aldehydes,Cleanliness,32,Other,American,True,Stressed,High
1,85,Peppermint,Menthol,Refreshment,25,Other,Indian,True,Sad,Low
1,86,Vanilla,Vanillin,Comfort,31,Male,French,True,Neutral,High
1,87,Rose,"Citronellol, Geraniol",Romance,40,Female,Indian,True,Calm,Low
1,88,Eucalyptus,Eucalyptol,Healing,57,Female,Indian,False,Neutral,Medium
1,89,Sandalwood,Santalol,Tranquility,38,Female,Chinese,False,Sad,Low
1,90,Leather,Benzaldehyde,Luxury,33,Female,French,True,Neutral,Medium
1,91,Coffee,"Caffeine, Niacin",Alertness,62,Other,American,True,Stressed,Medium
1,92,Chocolate,Theobromine,Pleasure,35,Other,American,True,Energized,Medium
1,93,Burnt Wood,Guaiacol,Nostalgia,64,Other,British,False,Energized,Medium
1,94,Cinnamon,Cinnamaldehyde,Warmth,41,Other,American,True,Sad,Medium
1,95,Apple,Amyl acetate,Freshness,43,Other,Chinese,False,Energized,Low
1,96,Strawberry,Methyl anthranilate,Joy,42,Female,Indian,True,Energized,Medium
1,97,Smoky,Creosol,Mystery,62,Female,Indian,True,Calm,High
1,98,Floral,Phenyl ethyl alcohol,Delight,58,Female,Indian,True,Sad,High
1,99,Ocean Breeze,Dimethyl sulfide,Freedom,46,Female,French,False,Sad,Medium
1,100,Rain,Geosmin,Nature,32,Other,American,False,Energized,High
1,101,Lavender,"Linalool, Linalyl acetate",Relaxation,62,Other,Chinese,False,Energized,Low
1,102,Citrus,"Limonene, Citral",Happiness,18,Other,French,True,Energized,Low
1,103,Pine,Pinene,Calmness,42,Male,British,False,Stressed,Medium
1,104,Fresh Linen,Aldehydes,Cleanliness,24,Female,Chinese,False,Neutral,Medium
1,105,Peppermint,Menthol,Refreshment,26,Female,Chinese,True,Stressed,Medium
1,106,Vanilla,Vanillin,Comfort,41,Other,Chinese,True,Sad,High
1,107,Rose,"Citronellol, Geraniol",Romance,18,Female,Indian,False,Calm,High
1,108,Eucalyptus,Eucalyptol,Healing,61,Female,Chinese,False,Neutral,Low
1,109,Sandalwood,Santalol,Tranquility,25,Other,American,False,Calm,High
1,110,Leather,Benzaldehyde,Luxury,41,Male,Chinese,False,Sad,Low
1,111,Coffee,"Caffeine, Niacin",Alertness,28,Male,Indian,True,Sad,High
1,112,Chocolate,Theobromine,Pleasure,68,Male,Chinese,True,Calm,Low
1,113,Burnt Wood,Guaiacol,Nostalgia,34,Other,British,True,Calm,Medium
1,114,Cinnamon,Cinnamaldehyde,Warmth,25,Female,British,False,Calm,High
1,115,Apple,Amyl acetate,Freshness,52,Other,Indian,False,Sad,Low
1,116,Strawberry,Methyl anthranilate,Joy,52,Other,American,True,Energized,High
1,117,Smoky,Creosol,Mystery,50,Female,American,True,Calm,Medium
1,118,Floral,Phenyl ethyl alcohol,Delight,22,Male,French,False,Neutral,Low
1,119,Ocean Breeze,Dimethyl sulfide,Freedom,59,Male,Indian,False,Sad,High
1,120,Rain,Geosmin,Nature,56,Other,Chinese,True,Stressed,High
1,121,Lavender,"Linalool, Linalyl acetate",Relaxation,58,Male,Indian,True,Stressed,Medium
1,122,Citrus,"Limonene, Citral",Happiness,45,Other,French,True,Neutral,Medium
1,123,Pine,Pinene,Calmness,24,Other,Indian,False,Energized,Low
1,124,Fresh Linen,Aldehydes,Cleanliness,26,Female,Indian,False,Calm,High
1,125,Peppermint,Menthol,Refreshment,25,Female,French,False,Sad,High
1,126,Vanilla,Vanillin,Comfort,29,Female,American,False,Calm,Medium
1,127,Rose,"Citronellol, Geraniol",Romance,51,Other,Chinese,False,Sad,Medium
1,128,Eucalyptus,Eucalyptol,Healing,50,Female,French,False,Stressed,Low
1,129,Sandalwood,Santalol,Tranquility,65,Male,British,True,Calm,High
1,130,Leather,Benzaldehyde,Luxury,40,Male,American,True,Neutral,High
1,131,Coffee,"Caffeine, Niacin",Alertness,41,Other,British,False,Energized,Low
1,132,Chocolate,Theobromine,Pleasure,54,Other,American,True,Neutral,Low
1,133,Burnt Wood,Guaiacol,Nostalgia,52,Female,Chinese,False,Energized,Medium
1,134,Cinnamon,Cinnamaldehyde,Warmth,61,Other,Chinese,True,Calm,Medium
1,135,Apple,Amyl acetate,Freshness,57,Other,Indian,False,Calm,Low
1,136,Strawberry,Methyl anthranilate,Joy,39,Male,British,True,Energized,Low
1,137,Smoky,Creosol,Mystery,44,Male,American,True,Stressed,High
1,138,Floral,Phenyl ethyl alcohol,Delight,52,Female,Chinese,False,Sad,Low
1,139,Ocean Breeze,Dimethyl sulfide,Freedom,18,Other,French,False,Neutral,Low
1,140,Rain,Geosmin,Nature,52,Other,Chinese,True,Neutral,High
1,141,Lavender,"Linalool, Linalyl acetate",Relaxation,54,Male,French,True,Neutral,Low
1,142,Citrus,"Limonene, Citral",Happiness,64,Other,American,False,Calm,Medium
1,143,Pine,Pinene,Calmness,31,Male,Chinese,True,Neutral,Medium
1,144,Fresh Linen,Aldehydes,Cleanliness,20,Female,Chinese,False,Sad,High
1,145,Peppermint,Menthol,Refreshment,18,Male,American,False,Sad,Low
1,146,Vanilla,Vanillin,Comfort,22,Other,Chinese,True,Energized,Medium
1,147,Rose,"Citronellol, Geraniol",Romance,43,Female,French,False,Calm,Medium
1,148,Eucalyptus,Eucalyptol,Healing,31,Male,Chinese,True,Sad,Medium
1,149,Sandalwood,Santalol,Tranquility,56,Male,British,True,Stressed,Medium
1,150,Leather,Benzaldehyde,Luxury,44,Female,Indian,False,Calm,Low
1,151,Coffee,"Caffeine, Niacin",Alertness,26,Female,French,True,Calm,Low
1,152,Chocolate,Theobromine,Pleasure,32,Male,British,False,Sad,Low
1,153,Burnt Wood,Guaiacol,Nostalgia,32,Other,American,False,Stressed,Low
1,154,Cinnamon,Cinnamaldehyde,Warmth,43,Male,French,False,Energized,Medium
1,155,Apple,Amyl acetate,Freshness,59,Female,Indian,True,Sad,High
1,156,Strawberry,Methyl anthranilate,Joy,30,Male,Indian,False,Stressed,High
1,157,Smoky,Creosol,Mystery,68,Female,American,True,Calm,Medium
1,158,Floral,Phenyl ethyl alcohol,Delight,49,Female,American,False,Stressed,Medium
1,159,Ocean Breeze,Dimethyl sulfide,Freedom,56,Other,French,False,Calm,High
1,160,Rain,Geosmin,Nature,66,Female,Chinese,False,Sad,High
1,161,Lavender,"Linalool, Linalyl acetate",Relaxation,69,Female,American,True,Sad,Medium
1,162,Citrus,"Limonene, Citral",Happiness,49,Other,Chinese,True,Neutral,Medium
1,163,Pine,Pinene,Calmness,21,Female,British,False,Neutral,Low
1,164,Fresh Linen,Aldehydes,Cleanliness,47,Other,Indian,False,Neutral,Low
1,165,Peppermint,Menthol,Refreshment,54,Other,Chinese,True,Sad,High
1,166,Vanilla,Vanillin,Comfort,40,Female,Indian,True,Energized,Medium
1,167,Rose,"Citronellol, Geraniol",Romance,56,Female,Chinese,True,Sad,High
1,168,Eucalyptus,Eucalyptol,Healing,62,Male,British,False,Stressed,Low
1,169,Sandalwood,Santalol,Tranquility,32,Other,American,True,Sad,Low
1,170,Leather,Benzaldehyde,Luxury,60,Male,British,False,Sad,High
1,171,Coffee,"Caffeine, Niacin",Alertness,46,Female,American,True,Calm,Low
1,172,Chocolate,Theobromine,Pleasure,53,Male,American,False,Calm,Medium
1,173,Burnt Wood,Guaiacol,Nostalgia,30,Other,Indian,False,Calm,High
1,174,Cinnamon,Cinnamaldehyde,Warmth,49,Male,British,False,Sad,Medium
1,175,Apple,Amyl acetate,Freshness,24,Other,Chinese,True,Energized,Medium
1,176,Strawberry,Methyl anthranilate,Joy,68,Female,British,True,Stressed,Low
1,177,Smoky,Creosol,Mystery,39,Female,Indian,True,Stressed,Medium
1,178,Floral,Phenyl ethyl alcohol,Delight,45,Other,American,False,Energized,High
1,179,Ocean Breeze,Dimethyl sulfide,Freedom,19,Female,Indian,False,Energized,Medium
1,180,Rain,Geosmin,Nature,59,Female,French,True,Stressed,Medium
1,181,Lavender,"Linalool, Linalyl acetate",Relaxation,62,Female,French,False,Neutral,Medium
1,182,Citrus,"Limonene, Citral",Happiness,23,Female,Chinese,False,Calm,Medium
1,183,Pine,Pinene,Calmness,45,Other,Indian,False,Calm,Medium
1,184,Fresh Linen,Aldehydes,Cleanliness,45,Male,Chinese,True,Stressed,Low
1,185,Peppermint,Menthol,Refreshment,61,Male,Chinese,False,Energized,High
1,186,Vanilla,Vanillin,Comfort,61,Female,French,True,Neutral,Low
1,187,Rose,"Citronellol, Geraniol",Romance,37,Male,Chinese,True,Stressed,High
1,188,Eucalyptus,Eucalyptol,Healing,47,Male,French,True,Calm,High
1,189,Sandalwood,Santalol,Tranquility,28,Female,American,True,Sad,High
1,190,Leather,Benzaldehyde,Luxury,45,Female,Indian,True,Energized,High
1,191,Coffee,"Caffeine, Niacin",Alertness,42,Male,Chinese,False,Sad,High
1,192,Chocolate,Theobromine,Pleasure,56,Other,French,True,Stressed,Medium
1,193,Burnt Wood,Guaiacol,Nostalgia,50,Female,British,True,Calm,Low
1,194,Cinnamon,Cinnamaldehyde,Warmth,18,Other,Chinese,True,Neutral,Low
1,195,Apple,Amyl acetate,Freshness,44,Male,American,False,Sad,Medium
1,196,Strawberry,Methyl anthranilate,Joy,69,Female,American,False,Neutral,High
1,197,Smoky,Creosol,Mystery,30,Other,British,False,Calm,Low
1,198,Floral,Phenyl ethyl alcohol,Delight,58,Female,French,False,Sad,Medium
1,199,Ocean Breeze,Dimethyl sulfide,Freedom,20,Male,Chinese,True,Neutral,Medium
1,200,Rain,Geosmin,Nature,56,Other,French,True,Neutral,Low
2,1,Lavender,"Linalool, Linalyl acetate",Relaxation,23,Male,American,False,Sad,Low
2,2,Citrus,"Limonene, Citral",Happiness,25,Male,French,False,Calm,High
2,3,Pine,Pinene,Calmness,44,Female,American,False,Neutral,High
2,4,Fresh Linen,Aldehydes,Cleanliness,26,Other,French,False,Stressed,Low
2,5,Peppermint,Menthol,Refreshment,54,Male,British,True,Sad,High
2,6,Vanilla,Vanillin,Comfort,50,Male,Indian,False,Energized,Medium
2,7,Rose,"Citronellol, Geraniol",Romance,68,Other,British,False,Energized,High
2,8,Eucalyptus,Eucalyptol,Healing,59,Male,British,False,Calm,High
2,9,Sandalwood,Santalol,Tranquility,61,Male,Indian,False,Stressed,Medium
2,10,Leather,Benzaldehyde,Luxury,41,Other,Indian,False,Neutral,High
2,11,Coffee,"Caffeine, Niacin",Alertness,32,Other,Chinese,False,Energized,Medium
2,12,Chocolate,Theobromine,Pleasure,49,Other,Chinese,False,Calm,High
2,13,Burnt Wood,Guaiacol,Nostalgia,49,Other,British,True,Stressed,Low
2,14,Cinnamon,Cinnamaldehyde,Warmth,41,Female,British,True,Stressed,High
2,15,Apple,Amyl acetate,Freshness,58,Other,American,True,Calm,Low
2,16,Strawberry,Methyl anthranilate,Joy,69,Female,American,True,Calm,Low
2,17,Smoky,Creosol,Mystery,66,Female,Chinese,True,Neutral,Low
2,18,Floral,Phenyl ethyl alcohol,Delight,66,Female,Chinese,True,Calm,Low
2,19,Ocean Breeze,Dimethyl sulfide,Freedom,69,Male,American,False,Neutral,Low
2,20,Rain,Geosmin,Nature,29,Female,American,False,Neutral,Medium
2,21,Lavender,"Linalool, Linalyl acetate",Relaxation,56,Female,French,True,Sad,Medium
2,22,Citrus,"Limonene, Citral",Happiness,19,Male,French,False,Stressed,Medium
2,23,Pine,Pinene,Calmness,20,Male,American,True,Stressed,Low
2,24,Fresh Linen,Aldehydes,Cleanliness,66,Male,French,False,Stressed,High
2,25,Peppermint,Menthol,Refreshment,54,Other,Indian,False,Sad,Medium
2,26,Vanilla,Vanillin,Comfort,66,Male,Chinese,False,Neutral,High
2,27,Rose,"Citronellol, Geraniol",Romance,34,Male,Chinese,False,Neutral,High
2,28,Eucalyptus,Eucalyptol,Healing,66,Female,American,False,Calm,Low
2,29,Sandalwood,Santalol,Tranquility,19,Male,British,False,Sad,Low
2,30,Leather,Benzaldehyde,Luxury,19,Other,American,True,Calm,Low
2,31,Coffee,"Caffeine, Niacin",Alertness,45,Male,French,True,Sad,Medium
2,32,Chocolate,Theobromine,Pleasure,40,Other,British,False,Calm,Low
2,33,Burnt Wood,Guaiacol,Nostalgia,54,Male,French,True,Energized,Medium
2,34,Cinnamon,Cinnamaldehyde,Warmth,49,Male,Indian,False,Stressed,Medium
2,35,Apple,Amyl acetate,Freshness,50,Male,French,True,Stressed,Medium
2,36,Strawberry,Methyl anthranilate,Joy,18,Male,Indian,False,Neutral,Medium
2,37,Smoky,Creosol,Mystery,36,Other,Indian,True,Energized,Low
2,38,Floral,Phenyl ethyl alcohol,Delight,19,Other,French,False,Stressed,Medium
2,39,Ocean Breeze,Dimethyl sulfide,Freedom,61,Female,French,True,Neutral,Low
2,40,Rain,Geosmin,Nature,43,Other,Indian,False,Energized,Low
2,41,Lavender,"Linalool, Linalyl acetate",Relaxation,49,Male,British,True,Stressed,Medium
2,42,Citrus,"Limonene, Citral",Happiness,23,Female,Indian,False,Calm,Low
2,43,Pine,Pinene,Calmness,49,Female,Chinese,False,Sad,High
2,44,Fresh Linen,Aldehydes,Cleanliness,21,Female,Indian,False,Energized,Low
2,45,Peppermint,Menthol,Refreshment,28,Male,British,True,Neutral,Low
2,46,Vanilla,Vanillin,Comfort,34,Other,Chinese,True,Energized,Medium
2,47,Rose,"Citronellol, Geraniol",Romance,55,Male,American,True,Neutral,Medium
2,48,Eucalyptus,Eucalyptol,Healing,41,Female,American,False,Energized,Low
2,49,Sandalwood,Santalol,Tranquility,22,Male,British,True,Neutral,Medium
2,50,Leather,Benzaldehyde,Luxury,69,Male,Indian,False,Stressed,High
2,51,Coffee,"Caffeine, Niacin",Alertness,51,Other,French,True,Calm,High
2,52,Chocolate,Theobromine,Pleasure,23,Other,British,True,Stressed,Medium
2,53,Burnt Wood,Guaiacol,Nostalgia,39,Female,Chinese,True,Calm,Low
2,54,Cinnamon,Cinnamaldehyde,Warmth,28,Male,Chinese,True,Stressed,High
2,55,Apple,Amyl acetate,Freshness,65,Male,American,False,Stressed,High
2,56,Strawberry,Methyl anthranilate,Joy,33,Other,Chinese,True,Energized,Low
2,57,Smoky,Creosol,Mystery,50,Male,British,True,Sad,Medium
2,58,Floral,Phenyl ethyl alcohol,Delight,26,Male,Chinese,False,Neutral,High
2,59,Ocean Breeze,Dimethyl sulfide,Freedom,23,Male,British,False,Neutral,Low
2,60,Rain,Geosmin,Nature,33,Other,French,True,Neutral,Low
2,61,Lavender,"Linalool, Linalyl acetate",Relaxation,46,Female,American,True,Calm,High
2,62,Citrus,"Limonene, Citral",Happiness,20,Female,Chinese,False,Neutral,Medium
2,63,Pine,Pinene,Calmness,37,Male,British,False,Neutral,High
2,64,Fresh Linen,Aldehydes,Cleanliness,53,Female,Indian,False,Energized,Low
2,65,Peppermint,Menthol,Refreshment,36,Other,American,True,Stressed,High
2,66,Vanilla,Vanillin,Comfort,43,Other,French,True,Neutral,Medium
2,67,Rose,"Citronellol, Geraniol",Romance,20,Female,British,True,Sad,Low
2,68,Eucalyptus,Eucalyptol,Healing,36,Female,French,False,Neutral,Medium
2,69,Sandalwood,Santalol,Tranquility,37,Male,French,False,Calm,High
2,70,Leather,Benzaldehyde,Luxury,49,Female,Chinese,False,Calm,High
2,71,Coffee,"Caffeine, Niacin",Alertness,24,Male,Chinese,True,Calm,Medium
2,72,Chocolate,Theobromine,Pleasure,69,Male,British,False,Neutral,High
2,73,Burnt Wood,Guaiacol,Nostalgia,58,Other,Indian,True,Energized,Medium
2,74,Cinnamon,Cinnamaldehyde,Warmth,50,Other,British,False,Sad,High
2,75,Apple,Amyl acetate,Freshness,57,Other,Indian,True,Neutral,Medium
2,76,Strawberry,Methyl anthranilate,Joy,56,Other,French,True,Energized,Medium
2,77,Smoky,Creosol,Mystery,35,Female,American,False,Energized,Low
2,78,Floral,Phenyl ethyl alcohol,Delight,57,Other,British,True,Neutral,Low
2,79,Ocean Breeze,Dimethyl sulfide,Freedom,18,Female,British,False,Neutral,Medium
2,80,Rain,Geosmin,Nature,28,Other,Indian,True,Energized,High
2,81,Lavender,"Linalool, Linalyl acetate",Relaxation,45,Female,French,False,Energized,High
2,82,Citrus,"Limonene, Citral",Happiness,42,Male,French,False,Energized,High
2,83,Pine,Pinene,Calmness,67,Female,Indian,True,Neutral,Medium
2,84,Fresh Linen,Aldehydes,Cleanliness,40,Female,French,False,Energized,Medium
2,85,Peppermint,Menthol,Refreshment,48,Other,Chinese,True,Calm,Medium
2,86,Vanilla,Vanillin,Comfort,47,Female,American,False,Neutral,Medium
2,87,Rose,"Citronellol, Geraniol",Romance,59,Male,British,False,Calm,Low
2,88,Eucalyptus,Eucalyptol,Healing,52,Male,American,False,Stressed,Medium
2,89,Sandalwood,Santalol,Tranquility,24,Other,British,False,Neutral,High
2,90,Leather,Benzaldehyde,Luxury,33,Male,Chinese,True,Stressed,Low
2,91,Coffee,"Caffeine, Niacin",Alertness,43,Female,French,False,Energized,High
2,92,Chocolate,Theobromine,Pleasure,65,Male,Indian,False,Energized,Medium
2,93,Burnt Wood,Guaiacol,Nostalgia,69,Other,Chinese,True,Sad,Low
2,94,Cinnamon,Cinnamaldehyde,Warmth,66,Female,American,True,Energized,Medium
2,95,Apple,Amyl acetate,Freshness,19,Other,Indian,True,Stressed,Low
2,96,Strawberry,Methyl anthranilate,Joy,18,Female,French,True,Energized,High
2,97,Smoky,Creosol,Mystery,65,Male,Chinese,True,Neutral,Medium
2,98,Floral,Phenyl ethyl alcohol,Delight,29,Other,Indian,True,Energized,Medium
2,99,Ocean Breeze,Dimethyl sulfide,Freedom,22,Other,Chinese,False,Sad,Low
2,100,Rain,Geosmin,Nature,54,Female,Chinese,True,Energized,Low
2,101,Lavender,"Linalool, Linalyl acetate",Relaxation,49,Other,French,False,Stressed,Medium
2,102,Citrus,"Limonene, Citral",Happiness,26,Female,British,True,Stressed,Low
2,103,Pine,Pinene,Calmness,58,Female,Indian,False,Energized,Medium
2,104,Fresh Linen,Aldehydes,Cleanliness,52,Female,French,False,Stressed,Low
2,105,Peppermint,Menthol,Refreshment,36,Female,Chinese,False,Stressed,High
2,106,Vanilla,Vanillin,Comfort,65,Male,French,True,Sad,Low
2,107,Rose,"Citronellol, Geraniol",Romance,33,Female,British,True,Neutral,High
2,108,Eucalyptus,Eucalyptol,Healing,20,Other,Indian,True,Sad,Low
2,109,Sandalwood,Santalol,Tranquility,37,Male,British,True,Calm,Low
2,110,Leather,Benzaldehyde,Luxury,41,Other,American,False,Sad,Medium
2,111,Coffee,"Caffeine, Niacin",Alertness,50,Male,Indian,True,Energized,Low
2,112,Chocolate,Theobromine,Pleasure,41,Female,British,False,Neutral,Low
2,113,Burnt Wood,Guaiacol,Nostalgia,69,Male,Chinese,False,Energized,High
2,114,Cinnamon,Cinnamaldehyde,Warmth,28,Male,Indian,True,Calm,Low
2,115,Apple,Amyl acetate,Freshness,66,Other,Indian,True,Neutral,Medium
2,116,Strawberry,Methyl anthranilate,Joy,25,Other,French,True,Stressed,High
2,117,Smoky,Creosol,Mystery,53,Female,Chinese,False,Sad,Medium
2,118,Floral,Phenyl ethyl alcohol,Delight,55,Male,American,True,Energized,Medium
2,119,Ocean Breeze,Dimethyl sulfide,Freedom,57,Male,British,False,Calm,Medium
2,120,Rain,Geosmin,Nature,37,Male,French,True,Stressed,Medium
2,121,Lavender,"Linalool, Linalyl acetate",Relaxation,52,Female,British,False,Sad,High
2,122,Citrus,"Limonene, Citral",Happiness,65,Female,American,True,Stressed,Low
2,123,Pine,Pinene,Calmness,42,Female,American,True,Sad,Medium
2,124,Fresh Linen,Aldehydes,Cleanliness,52,Female,Indian,False,Neutral,High
2,125,Peppermint,Menthol,Refreshment,42,Female,American,True,Stressed,Medium
2,126,Vanilla,Vanillin,Comfort,46,Other,British,True,Stressed,Low
2,127,Rose,"Citronellol, Geraniol",Romance,35,Male,Chinese,True,Stressed,High
2,128,Eucalyptus,Eucalyptol,Healing,63,Male,Chinese,True,Neutral,High
2,129,Sandalwood,Santalol,Tranquility,35,Male,Indian,True,Calm,Low
2,130,Leather,Benzaldehyde,Luxury,19,Male,British,True,Sad,High
2,131,Coffee,"Caffeine, Niacin",Alertness,52,Male,British,True,Stressed,Low
2,132,Chocolate,Theobromine,Pleasure,33,Male,American,False,Neutral,High
2,133,Burnt Wood,Guaiacol,Nostalgia,58,Male,British,False,Calm,High
2,134,Cinnamon,Cinnamaldehyde,Warmth,53,Male,French,True,Sad,Low
2,135,Apple,Amyl acetate,Freshness,50,Other,American,True,Neutral,Low
2,136,Strawberry,Methyl anthranilate,Joy,21,Male,French,True,Sad,High
2,137,Smoky,Creosol,Mystery,50,Other,Indian,False,Stressed,High
